N°_da_fatura;Data_da_fatura;ID_Cliente;País;Quantidade;Valor;Ano_mes;Pertence_UK
536584;2020-12-01 16:22:00;13777;United Kingdom;384;1132,8;2020-12;SIM
536585;2020-12-01 16:24:00;17460;United Kingdom;2;19,9;2020-12;SIM
536586;2020-12-01 16:25:00;18229;United Kingdom;44;344,2;2020-12;SIM
536587;2020-12-01 16:33:00;14142;United Kingdom;313;311,81;2020-12;SIM
536588;2020-12-01 16:49:00;17069;United Kingdom;103;277,05;2020-12;SIM
536590;2020-12-01 16:52:00;13065;United Kingdom;74;205,86;2020-12;SIM
536591;2020-12-01 16:57:00;14606;United Kingdom;81;159,26;2020-12;SIM
536591;2020-12-01 16:58:00;14606;United Kingdom;12;39,06;2020-12;SIM
536593;2020-12-01 17:15:00;16835;United Kingdom;19;81,75;2020-12;SIM
536594;2020-12-01 17:22:00;15235;United Kingdom;34;79,5;2020-12;SIM
536595;2020-12-01 17:24:00;13576;United Kingdom;108;349,15;2020-12;SIM
536597;2020-12-01 17:35:00;18011;United Kingdom;71;102,79;2020-12;SIM
536598;2020-12-02 07:48:00;13090;United Kingdom;76;160,6;2020-12;SIM
536599;2020-12-02 07:49:00;15694;United Kingdom;80;306,4;2020-12;SIM
536600;2020-12-02 08:32:00;17850;United Kingdom;56;251,62;2020-12;SIM
536601;2020-12-02 08:33:00;17850;United Kingdom;12;22,2;2020-12;SIM
536602;2020-12-02 08:34:00;17850;United Kingdom;64;163,76;2020-12;SIM
536603;2020-12-02 08:40:00;17850;United Kingdom;12;22,2;2020-12;SIM
536604;2020-12-02 08:43:00;14741;United Kingdom;114;184,5;2020-12;SIM
536605;2020-12-02 08:52:00;13715;United Kingdom;107;272,65;2020-12;SIM
536607;2020-12-02 09:29:00;17732;United Kingdom;93;303,97;2020-12;SIM
536608;2020-12-02 09:37:00;12855;United Kingdom;30;38,1;2020-12;SIM
536609;2020-12-02 09:41:00;17850;United Kingdom;88;244,46;2020-12;SIM
536610;2020-12-02 09:42:00;17850;United Kingdom;12;22,2;2020-12;SIM
536611;2020-12-02 09:43:00;15752;United Kingdom;153;259,65;2020-12;SIM
536612;2020-12-02 09:44:00;17850;United Kingdom;82;206,76;2020-12;SIM
536613;2020-12-02 09:44:00;17855;United Kingdom;197;208,97;2020-12;SIM
536614;2020-12-02 09:44:00;17850;United Kingdom;12;22,2;2020-12;SIM
536615;2020-12-02 10:09:00;14047;United Kingdom;108;286,92;2020-12;SIM
536616;2020-12-02 10:10:00;17925;United Kingdom;72;244,08;2020-12;SIM
536617;2020-12-02 10:17:00;13941;United Kingdom;644;1095,12;2020-12;SIM
536618;2020-12-02 10:17:00;17017;United Kingdom;600;780,12;2020-12;SIM
536619;2020-12-02 10:18:00;17017;United Kingdom;48;97,2;2020-12;SIM
536620;2020-12-02 10:27:00;14135;United Kingdom;741;485,25;2020-12;SIM
536621;2020-12-02 10:35:00;13108;United Kingdom;298;350,06;2020-12;SIM
536623;2020-12-02 10:39:00;15601;United Kingdom;666;768,38;2020-12;SIM
536624;2020-12-02 10:45:00;13418;United Kingdom;228;610,64;2020-12;SIM
536626;2020-12-02 10:46:00;13418;United Kingdom;6;12,6;2020-12;SIM
536627;2020-12-02 10:53:00;15658;United Kingdom;64;306,2;2020-12;SIM
536628;2020-12-02 10:54:00;17850;United Kingdom;86;230,56;2020-12;SIM
536629;2020-12-02 10:55:00;17850;United Kingdom;12;22,2;2020-12;SIM
536630;2020-12-02 10:56:00;17850;United Kingdom;88;244,46;2020-12;SIM
536631;2020-12-02 10:58:00;17850;United Kingdom;12;22,2;2020-12;SIM
536632;2020-12-02 11:02:00;14388;United Kingdom;170;312,8;2020-12;SIM
536633;2020-12-02 11:20:00;14901;United Kingdom;105;204,15;2020-12;SIM
536634;2020-12-02 11:21:00;18041;United Kingdom;159;193,78;2020-12;SIM
536635;2020-12-02 11:22:00;15955;United Kingdom;246;572,38;2020-12;SIM
536636;2020-12-02 11:23:00;15070;United Kingdom;36;106,2;2020-12;SIM
536637;2020-12-02 11:35:00;18041;United Kingdom;165;235,16;2020-12;SIM
536638;2020-12-02 11:41:00;16244;United Kingdom;619;1056,63;2020-12;SIM
536639;2020-12-02 11:45:00;15111;United Kingdom;106;288,5;2020-12;SIM
536641;2020-12-02 11:46:00;12748;United Kingdom;1;4,25;2020-12;SIM
536643;2020-12-02 11:57:00;14390;United Kingdom;74;223,7;2020-12;SIM
536663;2020-12-02 12:07:00;16546;United Kingdom;156;299,4;2020-12;SIM
536670;2020-12-02 12:09:00;15260;United Kingdom;40;58,0;2020-12;SIM
536667;2020-12-02 12:09:00;15260;United Kingdom;214;362,5;2020-12;SIM
536671;2020-12-02 12:10:00;13305;United Kingdom;132;136,2;2020-12;SIM
536672;2020-12-02 12:10:00;14491;United Kingdom;40;127,2;2020-12;SIM
536673;2020-12-02 12:11:00;14060;United Kingdom;504;339,84;2020-12;SIM
536674;2020-12-02 12:16:00;15923;United Kingdom;122;127,08;2020-12;SIM
536676;2020-12-02 12:18:00;16752;United Kingdom;54;207,5;2020-12;SIM
536681;2020-12-02 12:22:00;17287;United Kingdom;46;113,92;2020-12;SIM
536685;2020-12-02 12:23:00;17850;United Kingdom;108;380,46;2020-12;SIM
536688;2020-12-02 12:24:00;17850;United Kingdom;12;22,2;2020-12;SIM
536690;2020-12-02 12:25:00;17850;United Kingdom;92;331,26;2020-12;SIM
536693;2020-12-02 12:26:00;17850;United Kingdom;12;22,2;2020-12;SIM
536698;2020-12-02 12:28:00;15363;United Kingdom;144;326,0;2020-12;SIM
536707;2020-12-02 12:33:00;12915;United Kingdom;41;199,65;2020-12;SIM
536732;2020-12-02 12:47:00;15544;United Kingdom;274;354,54;2020-12;SIM
536733;2020-12-02 12:50:00;15738;United Kingdom;255;329,65;2020-12;SIM
536735;2020-12-02 12:58:00;17381;United Kingdom;128;211,2;2020-12;SIM
536736;2020-12-02 12:59:00;17381;United Kingdom;1296;824,88;2020-12;SIM
536738;2020-12-02 13:06:00;15827;United Kingdom;42;98,18;2020-12;SIM
536740;2020-12-02 13:08:00;15827;United Kingdom;67;92,75;2020-12;SIM
536739;2020-12-02 13:08:00;14180;United Kingdom;31;201,75;2020-12;SIM
536741;2020-12-02 13:11:00;13117;United Kingdom;130;202,12;2020-12;SIM
536742;2020-12-02 13:14:00;16916;United Kingdom;103;198,08;2020-12;SIM
536743;2020-12-02 13:32:00;17964;United Kingdom;195;261,76;2020-12;SIM
536744;2020-12-02 13:36:00;14466;United Kingdom;137;379,75;2020-12;SIM
536745;2020-12-02 13:38:00;17235;United Kingdom;126;341,9;2020-12;SIM
536746;2020-12-02 13:39:00;16510;United Kingdom;92;248,1;2020-12;SIM
536747;2020-12-02 13:44:00;17802;United Kingdom;75;100,2;2020-12;SIM
536748;2020-12-02 13:45:00;15107;United Kingdom;26;116,0;2020-12;SIM
536749;2020-12-02 13:49:00;17976;United Kingdom;106;353,19;2020-12;SIM
536750;2020-12-02 14:04:00;17850;United Kingdom;118;434,8;2020-12;SIM
536751;2020-12-02 14:05:00;17850;United Kingdom;12;22,2;2020-12;SIM
536752;2020-12-02 14:06:00;17850;United Kingdom;104;390,66;2020-12;SIM
536753;2020-12-02 14:07:00;17850;United Kingdom;12;22,2;2020-12;SIM
536754;2020-12-02 14:09:00;14449;United Kingdom;142;210,24;2020-12;SIM
536759;2020-12-02 14:26:00;16781;United Kingdom;113;311,25;2020-12;SIM
536761;2020-12-02 14:30:00;13491;United Kingdom;36;98,9;2020-12;SIM
536762;2020-12-02 14:40:00;16186;United Kingdom;231;307,68;2020-12;SIM
536763;2020-12-02 14:42:00;17685;United Kingdom;331;452,52;2020-12;SIM
536769;2020-12-02 14:47:00;17581;United Kingdom;375;668,4;2020-12;SIM
536771;2020-12-02 14:49:00;17581;United Kingdom;66;118,38;2020-12;SIM
536777;2020-12-02 15:00:00;15732;United Kingdom;97;138,1;2020-12;SIM
536778;2020-12-02 15:03:00;13138;United Kingdom;125;193,23;2020-12;SIM
536779;2020-12-02 15:08:00;15823;United Kingdom;1;15,0;2020-12;SIM
536781;2020-12-02 15:14:00;17460;United Kingdom;24;50,4;2020-12;SIM
536782;2020-12-02 15:18:00;17567;United Kingdom;244;517,95;2020-12;SIM
536783;2020-12-02 15:19:00;15061;United Kingdom;2909;4076,48;2020-12;SIM
536784;2020-12-02 15:20:00;15061;United Kingdom;1330;2170,9;2020-12;SIM
536785;2020-12-02 15:22:00;15061;United Kingdom;1008;2730,96;2020-12;SIM
536786;2020-12-02 15:23:00;15061;United Kingdom;144;324,0;2020-12;SIM
536787;2020-12-02 15:24:00;17850;United Kingdom;76;192,46;2020-12;SIM
536788;2020-12-02 15:25:00;15061;United Kingdom;60;75,0;2020-12;SIM
536789;2020-12-02 15:25:00;17850;United Kingdom;12;22,2;2020-12;SIM
536790;2020-12-02 15:26:00;17850;United Kingdom;141;532,01;2020-12;SIM
536791;2020-12-02 15:27:00;17850;United Kingdom;24;44,4;2020-12;SIM
536792;2020-12-02 15:28:00;15061;United Kingdom;24;30,0;2020-12;SIM
536793;2020-12-02 15:39:00;16203;United Kingdom;70;170,7;2020-12;SIM
536794;2020-12-02 15:40:00;13767;United Kingdom;96;322,8;2020-12;SIM
536795;2020-12-02 15:40:00;15640;United Kingdom;180;333,72;2020-12;SIM
536796;2020-12-02 15:46:00;15574;United Kingdom;176;375,65;2020-12;SIM
536797;2020-12-02 15:49:00;16770;United Kingdom;56;130,8;2020-12;SIM
536798;2020-12-02 15:55:00;17838;United Kingdom;472;717,16;2020-12;SIM
536799;2020-12-02 16:00:00;17228;United Kingdom;122;183,3;2020-12;SIM
536800;2020-12-02 16:12:00;14829;United Kingdom;190;236,97;2020-12;SIM
536802;2020-12-02 16:29:00;17412;United Kingdom;50;197,3;2020-12;SIM
536803;2020-12-02 16:33:00;14911;EIRE;6;22,5;2020-12;NÃO
536804;2020-12-02 16:34:00;14031;United Kingdom;531;1714,25;2020-12;SIM
536805;2020-12-02 16:38:00;14775;United Kingdom;384;406,56;2020-12;SIM
536806;2020-12-02 16:42:00;12971;United Kingdom;84;45,12;2020-12;SIM
536808;2020-12-02 16:46:00;17659;United Kingdom;64;247,8;2020-12;SIM
536809;2020-12-02 16:48:00;15299;United Kingdom;1824;1003,2;2020-12;SIM
536810;2020-12-02 16:50:00;15299;United Kingdom;204;303,96;2020-12;SIM
536811;2020-12-02 16:51:00;15299;United Kingdom;69;527,85;2020-12;SIM
536813;2020-12-02 16:59:00;15646;United Kingdom;230;189,8;2020-12;SIM
536819;2020-12-02 17:12:00;13402;United Kingdom;190;308,28;2020-12;SIM
536821;2020-12-02 17:17:00;17757;United Kingdom;80;143,45;2020-12;SIM
536823;2020-12-02 17:22:00;13011;United Kingdom;13;50,55;2020-12;SIM
536824;2020-12-02 17:24:00;13798;United Kingdom;160;408,0;2020-12;SIM
536830;2020-12-02 17:38:00;16754;United Kingdom;4280;2002,4;2020-12;SIM
536831;2020-12-02 17:40:00;16029;United Kingdom;260;569,4;2020-12;SIM
536832;2020-12-02 17:41:00;16634;United Kingdom;64;164,8;2020-12;SIM
536833;2020-12-02 17:48:00;18239;United Kingdom;208;438,1;2020-12;SIM
536834;2020-12-02 17:51:00;14576;United Kingdom;12;35,4;2020-12;SIM
536835;2020-12-02 18:06:00;13145;United Kingdom;1;295,0;2020-12;SIM
536836;2020-12-02 18:08:00;18168;United Kingdom;133;263,3;2020-12;SIM
536837;2020-12-02 18:15:00;14395;United Kingdom;174;308,68;2020-12;SIM
536838;2020-12-02 18:23:00;14865;United Kingdom;96;37,2;2020-12;SIM
536839;2020-12-02 18:25:00;15093;United Kingdom;879;623,73;2020-12;SIM
536840;2020-12-02 18:27:00;12738;Germany;148;155,35;2020-12;NÃO
536841;2020-12-02 18:27:00;16150;United Kingdom;174;393,42;2020-12;SIM
536842;2020-12-02 18:45:00;17552;United Kingdom;130;263,62;2020-12;SIM
536843;2020-12-02 18:46:00;17552;United Kingdom;14;34,9;2020-12;SIM
536844;2020-12-02 18:49:00;14236;United Kingdom;38;189,3;2020-12;SIM
536845;2020-12-02 19:18:00;17961;United Kingdom;45;127,55;2020-12;SIM
536846;2020-12-02 19:59:00;14573;United Kingdom;134;413,1;2020-12;SIM
536847;2020-12-03 09:31:00;17135;United Kingdom;222;215,58;2020-12;SIM
536848;2020-12-03 09:39:00;13408;United Kingdom;280;534,0;2020-12;SIM
536849;2020-12-03 09:45:00;17396;United Kingdom;106;397,5;2020-12;SIM
536851;2020-12-03 09:49:00;12967;United Kingdom;360;1368,4;2020-12;SIM
536852;2020-12-03 09:51:00;12686;France;107;89,14;2020-12;NÃO
536856;2020-12-03 10:26:00;13370;United Kingdom;343;754,87;2020-12;SIM
536857;2020-12-03 10:33:00;16883;United Kingdom;54;128,03;2020-12;SIM
536858;2020-12-03 10:36:00;13520;Switzerland;110;303,4;2020-12;NÃO
536859;2020-12-03 10:43:00;12841;United Kingdom;186;294,25;2020-12;SIM
536860;2020-12-03 10:43:00;16905;United Kingdom;108;254,4;2020-12;SIM
536861;2020-12-03 10:44:00;12427;Germany;79;303,5;2020-12;NÃO
536863;2020-12-03 11:19:00;17967;United Kingdom;80;123,07;2020-12;SIM
536874;2020-12-03 11:35:00;16891;United Kingdom;92;232,26;2020-12;SIM
536884;2020-12-03 11:42:00;14589;United Kingdom;5;39,75;2020-12;SIM
536890;2020-12-03 11:48:00;14156;EIRE;1548;322,2;2020-12;NÃO
536938;2020-12-03 12:05:00;14680;United Kingdom;464;1680,88;2020-12;SIM
536943;2020-12-03 12:11:00;17884;United Kingdom;170;187,51;2020-12;SIM
536944;2020-12-03 12:20:00;12557;Spain;400;620,0;2020-12;NÃO
536945;2020-12-03 12:24:00;14083;United Kingdom;179;309,54;2020-12;SIM
536946;2020-12-03 12:28:00;13013;United Kingdom;363;841,94;2020-12;SIM
536947;2020-12-03 12:29:00;13013;United Kingdom;439;686,4;2020-12;SIM
536954;2020-12-03 12:41:00;17809;United Kingdom;100;425,0;2020-12;SIM
536957;2020-12-03 12:43:00;17809;United Kingdom;234;791,7;2020-12;SIM
536956;2020-12-03 12:43:00;14210;United Kingdom;93;304,95;2020-12;SIM
536960;2020-12-03 12:48:00;16477;United Kingdom;125;225,65;2020-12;SIM
536967;2020-12-03 12:57:00;12600;Germany;31;76,5;2020-12;NÃO
536968;2020-12-03 13:09:00;16013;United Kingdom;168;534,0;2020-12;SIM
536969;2020-12-03 13:10:00;16013;United Kingdom;192;528,0;2020-12;SIM
536970;2020-12-03 13:12:00;17949;United Kingdom;120;1314,0;2020-12;SIM
536971;2020-12-03 13:40:00;12779;Poland;140;248,16;2020-12;NÃO
536972;2020-12-03 13:42:00;16926;United Kingdom;35;230,25;2020-12;SIM
536973;2020-12-03 13:43:00;17787;United Kingdom;356;736,28;2020-12;SIM
536974;2020-12-03 13:59:00;12682;France;132;336,24;2020-12;NÃO
536975;2020-12-03 14:04:00;14911;EIRE;827;1705,65;2020-12;NÃO
536976;2020-12-03 14:18:00;14723;United Kingdom;76;149,8;2020-12;SIM
536977;2020-12-03 14:18:00;17954;United Kingdom;60;108,78;2020-12;SIM
536980;2020-12-03 14:26:00;17819;United Kingdom;239;591,47;2020-12;SIM
536981;2020-12-03 14:26:00;14723;United Kingdom;39;101,14;2020-12;SIM
536983;2020-12-03 14:30:00;12712;Germany;60;175,53;2020-12;NÃO
536984;2020-12-03 14:35:00;17841;United Kingdom;136;339,54;2020-12;SIM
536986;2020-12-03 14:40:00;16140;United Kingdom;104;124,14;2020-12;SIM
536985;2020-12-03 14:40:00;15373;United Kingdom;42;334,3;2020-12;SIM
536987;2020-12-03 14:54:00;17198;United Kingdom;124;272,01;2020-12;SIM
536988;2020-12-03 15:05:00;17238;United Kingdom;100;254,39;2020-12;SIM
536989;2020-12-03 15:10:00;17238;United Kingdom;26;115,7;2020-12;SIM
536990;2020-12-03 15:14:00;12793;Portugal;65;131,8;2020-12;NÃO
536992;2020-12-03 15:16:00;15769;United Kingdom;36;91,8;2020-12;SIM
536993;2020-12-03 15:19:00;14396;United Kingdom;39;110,35;2020-12;SIM
536994;2020-12-03 15:25:00;14898;United Kingdom;18;98,5;2020-12;SIM
537022;2020-12-03 15:45:00;12725;Italy;164;427,8;2020-12;NÃO
537023;2020-12-03 16:02:00;16725;United Kingdom;64;122,15;2020-12;SIM
537026;2020-12-03 16:35:00;12395;Belgium;528;346,1;2020-12;NÃO
537030;2020-12-03 16:44:00;16455;United Kingdom;142;246,3;2020-12;SIM
537031;2020-12-03 16:45:00;16455;United Kingdom;108;135,0;2020-12;SIM
537034;2020-12-03 17:20:00;13081;United Kingdom;1338;2355,18;2020-12;SIM
537035;2020-12-03 17:21:00;13081;United Kingdom;8;11,6;2020-12;SIM
537036;2020-12-03 17:28:00;15545;United Kingdom;75;135,33;2020-12;SIM
537037;2020-12-05 10:03:00;17243;United Kingdom;92;256,9;2020-12;SIM
537038;2020-12-05 10:12:00;15465;United Kingdom;125;535,75;2020-12;SIM
537040;2020-12-05 10:27:00;13089;United Kingdom;192;734,4;2020-12;SIM
537041;2020-12-05 10:36:00;16033;United Kingdom;52;155,64;2020-12;SIM
537042;2020-12-05 10:45:00;13838;United Kingdom;83;238,11;2020-12;SIM
537044;2020-12-05 10:52:00;18055;United Kingdom;93;431,45;2020-12;SIM
537045;2020-12-05 10:54:00;15038;United Kingdom;46;126,43;2020-12;SIM
537046;2020-12-05 10:58:00;18109;United Kingdom;55;277,45;2020-12;SIM
537047;2020-12-05 11:02:00;13069;United Kingdom;181;326,6;2020-12;SIM
537048;2020-12-05 11:03:00;13069;United Kingdom;2;5,9;2020-12;SIM
537049;2020-12-05 11:04:00;16241;United Kingdom;97;277,65;2020-12;SIM
537050;2020-12-05 11:10:00;14800;United Kingdom;437;555,84;2020-12;SIM
537051;2020-12-05 11:12:00;15708;United Kingdom;158;350,68;2020-12;SIM
537052;2020-12-05 11:15:00;16839;United Kingdom;232;552,24;2020-12;SIM
537053;2020-12-05 11:38:00;16168;United Kingdom;124;275,8;2020-12;SIM
537054;2020-12-05 11:40:00;16931;United Kingdom;82;152,05;2020-12;SIM
537055;2020-12-05 11:45:00;16814;United Kingdom;107;273,29;2020-12;SIM
537057;2020-12-05 11:49:00;15351;United Kingdom;129;274,67;2020-12;SIM
537058;2020-12-05 11:51:00;13269;United Kingdom;197;351,43;2020-12;SIM
537059;2020-12-05 11:54:00;14813;United Kingdom;59;127,98;2020-12;SIM
537065;2020-12-05 11:57:00;12567;France;611;1526,92;2020-12;NÃO
537067;2020-12-05 11:57:00;14813;United Kingdom;8;27,45;2020-12;SIM
537077;2020-12-05 11:59:00;17062;United Kingdom;163;179,64;2020-12;SIM
